type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,temp_diff,power,rpm_torque_ratio,machine_failure,TWF,HDF,PWF,OSF,RNF
L,297.0,306.4,1656,27.8,154,9.38,4816.2,59.63,0,0,0,0,0,0
H,297.7,307.4,1501,33.8,184,9.61,5319.3,44.35,0,0,0,0,0,0
M,300.8,309.7,1630,21.3,3,8.97,3637.6,76.49,0,0,0,0,0,0
L,297.7,306.8,1297,39.3,84,9.11,5332.6,33.03,0,0,0,0,0,0
L,302.2,312.7,1528,45.9,192,10.43,7339.9,33.31,0,0,0,0,0,0
L,299.9,310.0,1360,26.5,101,10.13,3777.8,51.27,0,0,0,0,0,0
L,300.2,310.7,1255,40.2,90,10.49,5279.3,31.24,0,0,0,0,0,0
M,299.4,309.7,1327,32.0,237,10.21,4440.4,41.53,1,1,0,0,0,0
M,301.5,312.3,1391,46.7,138,10.7,6800.8,29.79,0,0,0,0,0,0
M,301.6,312.4,1748,16.9,48,10.88,3085.5,103.7,1,0,0,1,0,0
L,300.7,308.9,1385,47.1,118,8.26,6834.0,29.39,0,0,0,0,0,0
H,301.1,310.3,1245,21.8,129,9.15,2845.1,57.05,1,0,0,1,0,0
M,299.6,309.3,1526,37.9,247,9.77,6056.6,40.26,1,1,0,0,0,0
L,301.1,311.1,1505,32.9,179,9.98,5186.9,45.73,0,0,0,0,0,0
L,299.3,308.7,1401,36.4,129,9.33,5339.3,38.5,0,0,0,0,0,0
L,300.0,310.9,1467,24.7,107,10.91,3795.4,59.38,0,0,0,0,0,0
L,299.5,311.4,1695,56.6,228,11.98,10046.7,29.95,1,0,0,1,1,0
L,299.1,309.3,1634,27.1,161,10.19,4643.0,60.22,0,0,0,0,0,0
L,298.6,308.7,1616,27.9,89,10.08,4725.4,57.87,0,0,0,0,0,0
L,300.9,311.8,1263,57.9,116,10.85,7664.3,21.8,0,0,0,0,0,0
M,302.6,310.8,2077,43.2,69,8.13,9402.0,48.05,1,0,0,1,0,0
L,302.3,312.4,1710,27.5,240,10.03,4916.8,62.28,1,1,0,0,0,0
L,297.5,308.5,1603,38.7,175,10.98,6498.4,41.41,0,0,0,0,0,0
L,302.6,311.9,1267,37.6,98,9.36,4994.4,33.66,0,0,0,0,0,0
L,299.4,308.1,1689,23.1,45,8.77,4089.9,73.04,0,0,0,0,0,0
M,301.2,311.0,1399,32.4,44,9.81,4749.2,43.16,0,0,0,0,0,0
L,298.2,308.1,1461,39.7,119,9.94,6079.5,36.77,0,0,0,0,0,0
L,300.3,309.4,1163,52.7,116,9.09,6413.9,22.08,0,0,0,0,0,0
L,300.6,312.7,1251,38.1,104,12.1,4992.8,32.82,0,0,0,0,0,0
L,297.0,306.6,1587,38.9,212,9.52,6458.7,40.84,0,0,0,0,0,0
M,301.2,310.1,1701,31.8,244,8.85,5673.1,53.41,1,1,0,0,0,0
L,302.7,312.6,1636,51.0,88,9.91,8730.4,32.1,0,0,0,0,0,0
L,299.7,310.6,1630,49.0,73,10.91,8367.9,33.25,0,0,0,0,0,0
H,302.7,312.7,1487,47.9,192,10.02,7457.9,31.05,0,0,0,0,0,0
H,299.6,310.1,1418,41.1,112,10.49,6105.8,34.49,0,0,0,0,0,0
M,301.7,310.8,1557,24.0,54,9.13,3915.5,64.84,0,0,0,0,0,0
L,295.6,307.1,1664,50.9,45,11.49,8863.7,32.71,0,0,0,0,0,0
L,304.8,315.4,1500,40.6,70,10.56,6373.2,36.97,0,0,0,0,0,0
M,303.0,314.0,1742,36.9,0,11.05,6733.9,47.19,0,0,0,0,0,0
L,299.4,309.8,1456,44.5,235,10.37,6782.7,32.73,1,1,0,0,0,0
L,296.1,306.9,1303,42.2,107,10.82,5763.9,30.85,0,0,0,0,0,0
L,300.6,309.7,1497,29.3,20,9.13,4594.5,51.08,0,0,0,0,0,0
L,297.1,306.6,1521,36.8,41,9.51,5860.2,41.34,0,0,0,0,0,0
H,300.9,312.2,1483,21.0,80,11.35,3254.9,70.76,1,0,0,1,0,0
L,300.8,312.4,1756,40.9,137,11.56,7513.7,42.98,0,0,0,0,0,0
M,298.1,307.0,1661,53.3,175,8.85,9271.2,31.16,1,0,0,1,0,0
L,302.2,312.5,1213,22.0,76,10.25,2800.1,55.03,1,0,0,1,0,0
L,301.6,311.2,1806,41.3,239,9.57,7808.2,43.74,1,1,0,0,0,0
L,302.0,311.3,951,46.7,190,9.3,4649.3,20.37,0,0,0,0,0,0
L,300.0,310.3,1930,48.2,206,10.28,9734.3,40.07,1,0,0,1,0,0
H,297.2,308.3,1442,32.5,80,11.14,4913.4,44.32,0,0,0,0,0,0
M,302.0,312.4,1462,29.0,95,10.45,4436.5,50.45,0,0,0,0,0,0
H,299.5,309.1,1487,34.1,134,9.68,5314.6,43.57,0,0,0,0,0,0
M,297.2,307.7,1577,51.9,112,10.51,8572.4,30.38,0,0,0,0,0,0
L,302.7,312.3,1499,22.9,64,9.64,3595.4,65.45,0,0,0,0,0,0
H,304.2,314.6,1473,27.8,249,10.41,4294.4,52.91,1,1,0,0,0,0
L,299.9,311.3,1761,35.4,212,11.4,6530.4,49.73,0,0,0,0,0,0
L,304.3,312.2,1613,30.2,59,7.92,5108.5,53.33,0,0,0,0,0,0
L,300.2,311.0,1308,39.6,223,10.8,5421.9,33.04,1,1,0,0,0,0
L,299.2,307.7,1648,54.1,146,8.46,9344.3,30.44,1,0,0,1,0,0
L,298.7,310.0,1604,28.0,3,11.23,4696.8,57.36,0,0,0,0,0,0
L,303.3,312.6,1390,38.5,86,9.36,5609.4,36.07,0,0,0,0,0,0
M,298.4,307.2,1658,39.9,6,8.78,6930.7,41.54,0,0,0,0,0,0
L,301.5,312.2,1468,36.7,21,10.7,5634.8,40.05,0,0,0,0,0,0
L,298.9,309.2,1455,24.2,44,10.36,3689.7,60.08,0,0,0,0,0,0
L,299.1,308.1,1450,33.6,121,9.0,5105.2,43.13,0,0,0,0,0,0
L,302.1,310.8,1014,33.7,95,8.75,3573.3,30.13,0,0,0,0,0,0
M,299.2,309.1,1394,46.3,37,9.81,6764.0,30.09,0,0,0,0,0,0
L,299.2,308.0,1642,44.2,98,8.8,7599.5,37.15,0,0,0,0,0,0
H,302.3,311.2,1495,24.5,76,8.94,3832.7,61.07,0,0,0,0,0,0
M,303.2,313.3,1242,36.1,102,10.12,4699.0,34.38,0,0,0,0,0,0
L,301.3,310.3,1692,35.0,43,9.03,6201.1,48.35,0,0,0,0,0,0
L,298.7,309.1,1440,59.5,152,10.43,8979.5,24.18,0,0,0,0,0,0
M,299.0,310.5,1255,42.9,11,11.49,5641.1,29.24,0,0,0,0,0,0
M,300.2,310.0,1941,29.2,96,9.85,5940.4,66.41,0,0,0,0,0,0
M,300.6,310.8,1289,32.2,223,10.13,4350.8,39.99,0,0,0,0,0,0
M,298.0,310.0,1675,36.2,104,12.02,6352.2,46.25,0,0,0,0,0,0
L,301.4,310.3,1346,43.6,110,8.81,6148.9,30.85,0,0,0,0,0,0
L,300.2,311.4,1527,44.8,17,11.19,7171.7,34.05,0,0,0,0,0,0
L,296.6,307.6,1319,42.0,151,11.07,5801.9,31.4,0,0,0,0,0,0
M,298.1,309.0,1252,37.9,234,10.85,4969.3,33.03,0,0,0,0,0,0
M,299.0,310.3,1604,38.6,72,11.29,6490.4,41.51,0,0,0,0,0,0
L,299.9,310.1,1581,38.7,98,10.28,6409.0,40.84,0,0,0,0,0,0
L,303.8,313.2,1728,22.2,147,9.42,4012.0,77.94,0,0,0,0,0,0
L,300.5,311.6,1493,39.4,23,11.09,6158.0,37.91,0,0,0,0,0,0
L,298.3,309.5,1944,34.2,237,11.13,6967.9,56.8,1,1,0,0,0,0
M,300.4,311.5,1553,23.5,116,11.11,3817.2,66.16,0,0,0,0,0,0
M,299.3,309.3,1613,64.2,28,10.04,10840.6,25.13,1,0,0,1,0,0
M,300.6,309.9,1228,43.1,83,9.28,5544.2,28.48,0,0,0,0,0,0
L,301.2,311.4,1377,40.1,93,10.19,5786.9,34.31,0,0,0,0,0,0
L,302.4,313.4,1603,36.3,86,10.94,6091.6,44.17,0,0,0,0,0,0
M,300.0,311.0,1483,47.3,173,11.02,7346.0,31.35,0,0,0,0,0,0
M,303.3,312.8,1537,28.4,86,9.57,4567.4,54.16,0,0,0,0,0,0
L,301.8,312.1,1336,36.9,80,10.32,5158.7,36.23,0,0,0,0,0,0
M,298.6,307.3,1524,30.5,80,8.69,4864.1,50.0,0,0,0,0,0,0
L,304.4,315.4,1523,47.2,194,10.98,7530.3,32.26,0,0,0,0,0,0
L,300.7,309.9,1263,31.7,77,9.22,4197.0,39.8,0,0,0,0,0,0
L,298.3,309.1,1628,51.0,3,10.79,8696.9,31.91,0,0,0,0,0,0
L,303.3,312.2,1159,39.0,91,8.85,4734.3,29.71,0,0,0,0,0,0
L,304.2,315.2,1536,47.7,69,11.03,7679.7,32.17,0,0,0,0,0,0
L,299.9,310.3,1853,44.0,227,10.32,8537.7,42.11,1,1,0,0,0,0
M,299.0,308.2,1636,50.6,119,9.22,8667.6,32.34,0,0,0,0,0,0
L,299.7,310.3,1634,30.6,58,10.69,5244.3,53.31,0,0,0,0,0,0
L,301.4,310.8,1320,49.1,245,9.41,6781.0,26.91,1,1,0,0,1,0
H,302.6,313.3,1853,21.4,61,10.75,4147.6,86.69,0,0,0,0,0,0
L,301.1,310.9,1775,40.4,190,9.73,7515.3,43.9,0,0,0,0,0,0
L,300.2,308.5,1331,34.5,162,8.28,4814.4,38.53,1,0,1,0,0,0
M,303.0,312.0,1405,26.0,115,9.02,3818.7,54.13,0,0,0,0,0,0
L,299.4,308.9,1750,31.1,101,9.57,5692.9,56.33,0,0,0,0,0,0
L,302.1,313.4,1859,33.6,218,11.37,6539.8,55.34,1,1,0,0,0,0
L,299.4,310.3,1247,38.0,118,10.9,4966.8,32.79,0,0,0,0,0,0
L,300.9,312.5,1299,34.8,93,11.62,4727.3,37.38,0,0,0,0,0,0
H,299.8,311.4,1471,40.8,88,11.65,6285.0,36.05,0,0,0,0,0,0
M,299.9,309.4,1065,31.7,68,9.47,3535.2,33.6,0,0,0,0,0,0
M,299.2,309.1,1503,35.2,102,9.81,5545.2,42.66,0,0,0,0,0,0
M,302.7,312.3,1737,37.1,29,9.59,6750.1,46.81,0,0,0,0,0,0
M,298.5,307.9,1212,41.8,16,9.33,5307.9,28.98,0,0,0,0,0,0
L,298.5,306.7,1525,48.5,135,8.16,7743.5,31.45,0,0,0,0,0,0
M,304.2,314.2,1383,48.5,113,9.99,7029.4,28.49,0,0,0,0,0,0
L,302.0,310.7,1827,42.4,43,8.71,8107.3,43.12,0,0,0,0,0,0
M,295.2,305.2,1386,44.3,26,9.97,6430.1,31.28,0,0,0,0,0,0
M,298.9,311.0,1803,43.1,35,12.12,8141.2,41.81,0,0,0,0,0,0
L,296.4,305.9,1380,36.9,78,9.49,5325.8,37.45,0,0,0,0,0,0
L,298.1,308.3,1654,49.0,112,10.19,8488.1,33.75,0,0,0,0,0,0
L,293.7,304.6,1550,30.9,48,10.91,5008.3,50.23,0,0,0,0,0,0
L,299.7,310.0,1472,19.5,188,10.28,3008.7,75.42,1,0,0,1,0,0
M,297.7,308.0,1341,29.6,48,10.29,4154.6,45.33,0,0,0,0,0,0
M,300.1,309.8,1564,54.0,31,9.64,8849.3,28.95,0,0,0,0,0,0
L,296.7,306.5,1411,37.0,248,9.77,5473.9,38.09,1,1,0,0,0,0
L,300.2,309.2,1362,42.7,111,9.04,6096.1,31.87,0,0,0,0,0,0
L,299.2,310.0,1794,37.3,42,10.85,7000.0,48.15,0,0,0,0,0,0
L,303.0,311.3,1609,45.6,223,8.26,7686.1,35.27,0,0,0,0,0,0
